"","scientific_name","MSW3_ID","MSWFamilyLatin","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.Source","Diet.Certainty","ForStrat.Value","ForStrat.Certainty","ForStrat.Comment","Activity.Nocturnal","Activity.Crepuscular","Activity.Diurnal","Activity.Source","Activity.Certainty","BodyMass.Value","BodyMass.Source","BodyMass.SpecLevel","taxonid","subspecies","rank","subpopulation","category","code","habitat","suitability","season","majorimportance","IUCN_species_name"
"4","Alouatta palliata",634,"Atelidae",0,0,0,0,0,0,40,0,0,60,"Ref_1","ABC","Ar","A","",0,0,1,"Ref_1","ABC",7274.95,"Ref_117","1",39960,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,"Yes","Alouatta palliata"
"5","Alouatta seniculus",627,"Atelidae",0,0,0,0,0,0,40,0,0,60,"Ref_1","ABC","Ar","A","",0,0,1,"Ref_1","ABC",6145.54,"Ref_117","1",70547436,NA,NA,NA,"LC","1.9","Forest - Subtropical/Tropical Moist Montane","Suitable",NA,"Yes","Alouatta seniculus"
"7","Amphinectomys savamis",1711,"Cricetidae",20,0,0,0,0,0,10,0,40,30,"Ref_3","D2","G","A","",1,0,0,"Ref_3","D2",47.71,"Ref_2, Ref_3","0",136723,NA,NA,NA,"DD","1.6","Forest - Subtropical/Tropical Moist Lowland","Unknown",NA,NA,"Amphinectomys savamis"
"8","Anotomys leander",1716,"Cricetidae",20,0,0,0,0,0,10,0,40,30,"Ref_3","D2","G","A","",1,0,0,"Ref_3","D2",66.4,"Ref_117","1",1564,NA,NA,NA,"EN","1.9","Forest - Subtropical/Tropical Moist Montane","Suitable",NA,NA,"Anotomys leander"
"9","Anoura cultrata",4139,"Phyllostomidae",30,0,0,0,0,0,30,40,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",16.85,"Ref_117","1",1566,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,"Yes","Anoura cultrata"
"10","Anoura geoffroyi",4140,"Phyllostomidae",30,0,0,0,0,0,30,40,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",14.62,"Ref_117","1",88109511,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,"Yes","Anoura geoffroyi"
"11","Aotus lemurinus",641,"Aotidae",20,0,0,0,10,0,20,10,20,20,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",872.99,"Ref_117","1",1808,NA,NA,NA,"VU","1.9","Forest - Subtropical/Tropical Moist Montane","Suitable",NA,"Yes","Aotus lemurinus"
"12","Aotus vociferans",640,"Aotidae",20,0,0,0,10,0,20,10,20,20,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",872.99,"Ref_117","1",41544,NA,NA,NA,"LC","1.9","Forest - Subtropical/Tropical Moist Montane","Suitable",NA,"Yes","Aotus vociferans"
"14","Artibeus concolor",4079,"Phyllostomidae",10,0,0,0,0,0,80,10,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",19.35,"Ref_117","1",2125,NA,NA,NA,"LC","1.6","Forest - Subtropical/Tropical Moist Lowland","Suitable",NA,NA,"Artibeus concolor"
"15","Artibeus fraterculus",4072,"Phyllostomidae",10,0,0,0,0,0,80,10,0,0,"Ref_1","ABC","Ar","A","",1,0,0,"Ref_1","ABC",36,"Ref_178","2",2127,NA,NA,NA,"LC",NA,NA,NA,NA,NA,"Artibeus fraterculus"
