"","scrubbed_species_binomial","trait_name","trait_value","unit","method","latitude","longitude","elevation_m","url_source","project_pi","project_pi_contact","access","id"
"1","Pausandra trianae","diameter at breast height (1.3 m)","2.5","cm",NA,8.7,-83.55,NA,NA,"James S. MIller",NA,"public",9487717
"2","Guarea kunthiana","diameter at breast height (1.3 m)","4","cm",NA,0.866667,-78.4333,NA,NA,"Brad Boyle","bboyle@email.arizona.edu","public",11868039
"3","Gordonia fruticosa","whole plant growth form","tree",NA,NA,11.1333,-74.0167,NA,NA,"James S. MIller",NA,"public",13241330
"4","Pausandra trianae","whole plant growth form","tree",NA,NA,-12.5833,-69.15,NA,NA,"James S. MIller",NA,"public",13244869
"5","Acalypha diversifolia","whole plant growth form","tree",NA,NA,-11.063,-75.404,NA,NA,"James S. MIller",NA,"public",13250320
"6","Hasseltia floribunda","whole plant growth form","tree",NA,NA,-15.25,-67,NA,NA,"Tim Killeen",NA,"public",13253005
"7","Croton schiedeanus","whole plant growth form","tree",NA,NA,12.3,-85.4,NA,NA,"James S. MIller",NA,"public",13280885
"8","Pausandra trianae","whole plant growth form","tree",NA,NA,-12.3627,-69.2844,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13307177
"9","Laetia procera","whole plant growth form","tree",NA,NA,10.4304,-84.0167,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",13342207
"10","Vismia baccifera","whole plant height","0","m",NA,10.432,-84.0348,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",13898011
"11","Pausandra trianae","diameter at breast height (1.3 m)","21.1","cm",NA,10.3167431760818,-84.0468609566593,NA,NA,"VG-VB-9",NA,"public",23805068
"12","Pausandra trianae","diameter at breast height (1.3 m)","11.4","cm",NA,10.316417298247,-84.0469701854639,NA,NA,"VG-VB-9",NA,"public",25350079
"13","Hieronyma alchorneoides","plant fruiting duration","1,2,4,5,7,8,9,10,11,12","month",NA,NA,NA,NA,NA,NA,NA,"public",2037082
"14","Laetia procera","diameter at breast height (1.3 m)","39.8","cm",NA,-2.4313394,-59.794235,NA,NA,"Eduardo Eler",NA,"public",18493477
"15","Laetia procera","diameter at breast height (1.3 m)","22.9","cm",NA,10.3456620117176,-84.0577790140333,NA,NA,"VG-VB-9",NA,"public",25077501
"16","Vismia baccifera","diameter at breast height (1.3 m)","39","cm",NA,10.2403425582,-84.0850028149,NA,NA,"VG-VB-9",NA,"public",25174773
"17","Hieronyma alchorneoides","diameter at breast height (1.3 m)","48","cm",NA,-11.9371996,-71.2813285,NA,NA,"Patricia Alvarez-Loayza",NA,"public",22289924
"18","Acalypha diversifolia","diameter at breast height (1.3 m)","2.5","cm",NA,-11.063,-75.404,NA,NA,"James S. MIller",NA,"public",2386120
"19","Pausandra trianae","diameter at breast height (1.3 m)","12","cm",NA,-14.6333,-62.6167,NA,NA,"James S. MIller",NA,"public",8133732
"20","Pausandra trianae","diameter at breast height (1.3 m)","6.5","cm",NA,-12.4258,-69.2923,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",12374894
"21","Guarea kunthiana","diameter at breast height (1.3 m)","108","cm",NA,-3.43367,-72.8446,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",9488794
"22","Acalypha diversifolia","diameter at breast height (1.3 m)","2.5","cm",NA,12.3,-85.4,NA,NA,"James S. MIller",NA,"public",11128394
"23","Hasseltia floribunda","diameter at breast height (1.3 m)","6","cm",NA,-12.0998,-69.1755,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",11594095
"24","Pausandra trianae","diameter at breast height (1.3 m)","3","cm",NA,-12.3973,-69.3264,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13090169
"25","Pausandra trianae","whole plant growth form","tree",NA,NA,-12.391,-69.3078,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13241624
"26","Croton schiedeanus","whole plant growth form","tree",NA,NA,13.35,-81.3667,NA,NA,"James S. MIller",NA,"public",13297477
"27","Laetia procera","whole plant growth form","tree",NA,NA,10.3615,-83.9928,NA,NA,"Susan Letcher","SUSAN.LETCHER@purchase.edu","public",13421376
"28","Trema micrantha","whole plant growth form","tree",NA,NA,-12.49,-69.11,NA,NA,"Oliver Phillips","o.phillips@leeds.ac.uk","public",13432369
